name,economy (mpg),cylinders,displacement (cc),power (hp)
AMC Ambassador Brougham,13,8,360,175
AMC Ambassador DPL,15,8,390,190
AMC Ambassador SST,17,8,304,150
AMC Concord DL 6,20.2,6,232,90
AMC Concord DL,18.1,6,258,120
AMC Concord DL,23,4,151,
AMC Concord,19.4,6,232,90
AMC Concord,24.3,4,151,90
AMC Gremlin,18,6,232,100
AMC Gremlin,19,6,232,100
AMC Gremlin,20,6,232,100
AMC Gremlin,21,6,199,90
AMC Hornet Sportabout (Wagon),18,6,258,110
AMC Hornet,18,6,199,97
AMC Hornet,18,6,232,100
AMC Hornet,19,6,232,100
AMC Hornet,22.5,6,232,90
AMC Matador (Wagon),14,8,304,150
AMC Matador (Wagon),15,8,304,150
AMC Matador,14,8,304,150
AMC Matador,15,6,258,110
AMC Matador,15.5,8,304,120
AMC Matador,16,6,258,110
AMC Matador,18,6,232,100
AMC Pacer D/L,17.5,6,258,95
AMC Pacer,19,6,232,90
AMC Rebel SST (Wagon),,8,360,175
AMC Rebel SST,16,8,304,150
AMC Spirit DL,27.4,4,121,80
Audi 100 LS,20,4,114,91
Audi 100 LS,23,4,115,95
Audi 100 LS,24,4,107,90
Audi 4000,34.3,4,97,78
Audi 5000,20.3,5,131,103
Audi 5000S (Diesel),36.4,5,121,67
Audi Fox,29,4,98,83
BMW 2002,26,4,121,113
BMW 320i,21.5,4,121,110
Buick Century 350,13,8,350,175
Buick Century Limited,25,6,181,110
Buick Century Luxus (Wagon),13,8,350,150
Buick Century Special,20.6,6,231,105
Buick Century,17,6,231,110
Buick Century,22.4,6,231,110
Buick Electra 225 Custom,12,8,455,225
Buick Estate Wagon (Wagon),14,8,455,225
Buick Estate Wagon (Wagon),16.9,8,350,155
Buick Lesabre Custom,13,8,350,155
Buick Opel Isuzu Deluxe,30,4,111,80
Buick Regal Sport Coupe (Turbo),17.7,6,231,165
Buick Skyhawk,21,6,231,110
Buick Skylark 320,15,8,350,165
Buick Skylark Limited,28.4,4,151,90
Buick Skylark,20.5,6,231,105
Buick Skylark,26.6,4,151,84
Cadillac Eldorado,23,8,350,125
Cadillac Seville,16.5,8,350,180
Chevroelt Chevelle Malibu,16,6,250,105
Chevrolet Bel Air,15,8,350,145
Chevrolet Camaro,27,4,151,90
Chevrolet Caprice Classic,13,8,400,150
Chevrolet Caprice Classic,17,8,305,130
Chevrolet Caprice Classic,17.5,8,305,145
Chevrolet Cavalier 2-Door,34,4,112,88
Chevrolet Cavalier Wagon,27,4,112,88
Chevrolet Cavalier,28,4,112,88
Chevrolet Chevelle Concours (Wagon),,8,350,165
Chevrolet Chevelle Concours (Wagon),13,8,307,130
Chevrolet Chevelle Malibu Classic,16,6,250,100
Chevrolet Chevelle Malibu Classic,17.5,8,305,140
Chevrolet Chevelle Malibu,17,6,250,100
Chevrolet Chevelle Malibu,18,8,307,130
Chevrolet Chevette,29,4,85,52
Chevrolet Chevette,30,4,98,68
Chevrolet Chevette,30.5,4,98,63
Chevrolet Chevette,32.1,4,98,70
Chevrolet Citation,23.5,6,173,110
Chevrolet Citation,28,4,151,90
Chevrolet Citation,28.8,6,173,115
Chevrolet Concours,17.5,6,250,110
Chevrolet Impala,11,8,400,150
Chevrolet Impala,13,8,350,165
Chevrolet Impala,14,8,350,165
Chevrolet Impala,14,8,454,220
Chevrolet Malibu Classic (Wagon),19.2,8,267,125
Chevrolet Malibu,13,8,350,145
Chevrolet Malibu,20.5,6,200,95
Chevrolet Monte Carlo Landau,15.5,8,350,170
Chevrolet Monte Carlo Landau,19.2,8,305,145
Chevrolet Monte Carlo S,15,8,350,145
Chevrolet Monte Carlo,15,8,400,150
Chevrolet Monza 2+2,20,8,262,110
Chevrolet Nova Custom,16,6,250,100
Chevrolet Nova,15,6,250,100
Chevrolet Nova,18,6,250,105
Chevrolet Nova,22,6,250,105
Chevrolet Vega (Wagon),22,4,140,72
