date,technology,category,parent,adoption,knowledge,sentiment,newsworthiness,evolution,total
6/2012,wordpress,cms,php,494,556,130,132,162,1343
6/2012,drupal,cms,php,519,203,50,290,197,970
6/2012,joomla,cms,php,211,255,90,871,174,732
6/2012,concrete5,cms,php,0,23,40,1,38,102
6/2012,typo3,cms,php,0,59,0,4,140,200
6/2012,liferay,cms,java,72,34,0,0,82,189
6/2012,hippo,cms,java,0,66,-40,0,48,75
6/2012,alfresco,cms,java,41,43,20,0,49,154
6/2012,mambo,cms,php,12,9,-100,0,57,-19
6/2012,webgui,cms,perl,14,0,0,0,90,104
6/2012,e107,cms,php,0,1,0,0,118,120
6/2012,opencms,cms,java,0,25,10,0,107,142
6/2012,magnolia,cms,java,4,27,-10,0,66,87
