date,technology,category,parent,adoption,knowledge,sentiment,newsworthiness,evolution,total
6/2012,wordpress,cms,php,475,554,30,309,159,1218
6/2012,drupal,cms,php,510,204,70,157,194,980
6/2012,joomla,cms,php,201,257,20,706,171,650
6/2012,concrete5,cms,php,0,23,10,18,38,71
6/2012,typo3,cms,php,0,59,20,52,150,229
6/2012,liferay,cms,java,72,35,30,1,82,219
6/2012,hippo,cms,java,0,67,-90,10,52,29
6/2012,alfresco,cms,java,43,43,-50,2,49,85
6/2012,mambo,cms,php,12,9,-30,11,57,50
6/2012,webgui,cms,perl,13,0,0,0,90,104
6/2012,e107,cms,php,0,1,-10,13,116,108
6/2012,opencms,cms,java,0,25,0,0,107,132
6/2012,magnolia,cms,java,4,27,-70,14,66,27
