grant_title,id,organization,total_amount,group,Grant start date,start_month,start_day,start_year
LA NSC Match,2,Trustees of Dartmouth College,27727,low,8/3/09,8,3,2009
Mathematics Assessment for Learning Phase One RFP,3,Denver School of Science and Technology Inc.,36018,low,11/12/09,11,12,2009
Conference Support,5,New Schools for New Orleans,50000,low,10/12/09,10,12,2009
Conference Support Grant on differentiated compensation symposium,6,Battelle For Kids,50000,low,6/30/09,6,30,2009
Conference Support On School Turnaround Issues,7,FSG Social Impact Advisors,50000,low,9/24/09,9,24,2009
City Based Proposal for What Works Fund - Aspire Public Schools,8,Aspire Public Schools,51500,low,10/29/09,10,29,2009
Formative Assessment Task Development and Validation (Supplemental to OPP53449),9,Educational Policy Improvement Center,55752,low,11/16/09,11,16,2009
City Based Proposal for What Works Fund - E3 Alliance,10,E3 Alliance,56245,low,10/28/09,10,28,2009
Light touch communications grant for EET district partner (Hillsborough),11,"Hillsborough Education Foundation, Inc.",60000,low,11/2/09,11,2,2009
Light touch communications grant for EET district partner (LA CMOs),12,The College-Ready Promise,60000,low,11/2/09,11,2,2009
Light touch communications grant for EET district partner (Memphis),13,Memphis City Schools Foundation,60000,low,11/2/09,11,2,2009
Light touch communications grant for EET district partners (Pittsburgh),14,Pittsburgh Public Schools,60000,low,11/2/09,11,2,2009
City Based Proposal for What Works Fund - GHCF,15,Greater Houston Community Foundation,68500,low,10/28/09,10,28,2009
City Based Proposal for What Works Fund - New Visions for Public Schools,16,"New Visions for Public Schools, Inc",70116,low,11/10/09,11,10,2009
City Based Proposal for What Works Fund - Philadelphia Public Schools,17,School District of Philadelphia,74219,low,11/13/09,11,13,2009
Mathematics Assessment for Learning Phase One RFP,18,Hamilton County Department of Education,74800,low,11/1/09,11,1,2009
City Based Proposal for What Works Fund - Minneapolis Public Schools,20,Achieve Minneapolis,74963,low,10/29/09,10,29,2009
City Based Proposal for What Works Fund - PTE,21,The College-Ready Promise,75000,low,11/4/09,11,4,2009
City Based Proposal for What Works Fund - NYC Charter Center,23,New York City Center for Charter School Excellence,75300,low,10/30/09,10,30,2009
City based proposal for What Works Fund - City of New Haven,25,City of New Haven,82500,low,11/17/09,11,17,2009
"Achievement Gap Institute: Annual Research-to-Practice Conference, How Teachers Improve",26,President and Fellows of Harvard College,91300,low,5/13/09,5,13,2009
Community Engagement Supporting College and Career Readiness,28,Austin Voices for Education and Youth,93000,low,10/1/09,10,1,2009
City based proposal for What Works Fund - New Schools for New Orleans,31,New Schools for New Orleans,100000,medium,11/4/09,11,4,2009
EEP Equality Day Rally Support,32,Education Equality Project,100000,medium,6/19/09,6,19,2009
Stimulus Tracker,33,Education Writers Association,100000,medium,7/22/09,7,22,2009
Secondary STEM Data and Standards Analysis,35,Texas Public Education Reform Foundation,140000,medium,7/28/09,7,28,2009
Mathematics Assessment for Learning Phase One RFP,36,Charlotte-Mecklenburg Schools,143973,medium,11/9/09,11,9,2009
Ethnic Commission Education Reform Project,37,Washington State Commission on African American Affairs,146025,medium,11/20/09,11,20,2009
Mathematics Assessment for Learning Phase One RFP,38,Cristo Rey Network,149733,medium,11/6/09,11,6,2009
Professional Educator Standards Board,40,Professional Educator Standards Board,150000,medium,10/9/09,10,9,2009
Evaluate the Leaky College Pipeline in New York City,41,Fund for Public Schools Inc.,170023,medium,10/27/09,10,27,2009
DC Expansion and CA STEM partnership,43,Tiger Woods Foundation Inc.,200000,medium,8/29/09,8,29,2009
Retaining Teacher Talent: What Matters for Gen-Y Teachers,44,"Public Agenda Foundation, Inc.",215000,medium,3/2/09,3,2,2009
